codigo_do_usuario,criador,data_recebido,data_de_perda,data_de_ganho,tipo_de_venda,passagem,canal_de_aquisicao,docs_italiano,parente_italiano
14062,automacao,2023-06-20,2023-07-03,,1venda - site,nao,redes sociais,"nenhum, mas sei onde obter documentos",nao informado
14063,automacao,2023-06-20,2023-07-14,,1venda - site,Sim,redes sociais,tenho todos os documentos,nao informado
14064,automacao,2023-06-20,2023-06-21,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14065,automacao,2023-06-20,2023-06-27,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14066,automacao,2023-06-20,2023-07-03,,1venda - site,nao,parcerias,nenhum e nao sei por onde comecar,nao informado
14067,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14068,automacao,2023-06-20,2023-07-03,,1venda - indicacao,nao,indicacao,,nao informado
14069,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14070,automacao,2023-06-20,2023-07-05,,1venda - site,Sim,midia paga,nenhum e nao sei por onde comecar,nao informado
14071,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14072,automacao,2023-06-20,,2023-06-26,1venda - site,Sim,redes sociais,algumas certidoes de nascimento/casamento/obito,nao informado
14073,automacao,2023-12-01,2023-12-06,,retorno,nao,parcerias,tenho todos os documentos,nao informado
14074,vendedor loja,2023-06-20,2023-07-07,,1venda - manual,Sim,,,nao informado
14075,automacao,2023-06-20,2023-07-08,,1venda - site,Sim,parcerias,algumas certidoes de nascimento/casamento/obito,nao informado
14076,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14077,automacao,2023-06-20,2023-07-03,,1venda - site,nao,parcerias,nenhum e nao sei por onde comecar,nao informado
14078,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14079,automacao,2023-06-20,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
